Rep Gen mu.x sig2.x S mu.y sig2.y sig.xy N se.x se.y
Up 0 2.922 0.018 0.194 5.900 0.022 0.010 100 0.013 0.015
Up 1 2.955 0.016 0.145 6.041 0.024 0.009 65 0.016 0.019
Up 2 3.024 0.018 0.147 6.081 0.018 0.011 65 0.017 0.017
Up 3 3.048 0.013 0.144 6.225 0.023 0.007 64 0.014 0.019
Up 4 3.109 0.022 - 6.271 0.018 0.010 57 0.020 0.018
Down 0 2.922 0.018 -0.201 5.900 0.022 0.010 100 0.013 0.015
Down 1 2.762 0.013 -0.148 5.910 0.024 0.008 64 0.014 0.019
Down 2 2.709 0.015 -0.152 5.888 0.024 0.009 69 0.015 0.019
Down 3 2.677 0.0238 -0.194 5.985 0.031 0.009 61 0.020 0.022
Down 4 2.686 0.025 - 5.977 0.036 0.014 66 0.020 0.023
Control 0 2.922 0.0176 - 5.900 0.022 0.010 100 0.013 0.015
Control 1 2.829 0.0285 - 5.975 0.027 0.016 128 0.015 0.014
Control 2 2.858 0.0193 - 5.983 0.022 0.008 94 0.014 0.015
Control 3 - - - - - - - - -
Control 4 2.940 0.015 - 6.219 0.028 0.003 27 0.024 0.032
