Rep. Gen. mu.x sig2.x S mu.y sig2.y sig.xy N SEx SEy
Up 0 3.344 0.022 0.207 6.112 0.028 0.014 100 0.015 0.017
Up 1 3.374 0.018 0.159 6.192 0.017 0.008 68 0.016 0.016
Up 2 3.338 0.018 0.161 6.184 0.032 0.010 63 0.017 0.022
Up 3 3.256 0.015 0.140 6.101 0.023 0.009 65 0.015 0.019
Up 4 3.332 0.025 - 6.200 0.017 0.007 80 0.018 0.015
Down 0 3.344 0.022 -0.189 6.112 0.028 0.014 100 0.015 0.017
Down 1 3.234 0.017 -0.171 6.121 0.018 0.009 68 0.016 0.016
Down 2 3.100 0.027 -0.196 6.080 0.020 0.008 58 0.021 0.018
Down 3 2.927 0.028 -0.191 6.025 0.024 0.008 64 0.021 0.019
Down 4 2.929 0.040 - 6.101 0.013 0.009 81 0.022 0.013
Control 0 3.344 0.022 - 6.112 0.028 0.014 100 0.015 0.017
Control 1 3.293 0.016 - 6.097 0.021 0.010 142 0.011 0.012
Control 2 3.310 0.024 - 6.158 0.015 0.009 61 0.020 0.016
Control 3 - - - - - - - - -
Control 4 3.187 0.023 - 6.117 0.011 0.007 43 0.023 0.016
